,SLD.1,SLD.2,SLD.3,TAD.1,TAD.2,TAD.3,080.1,080.2,080.3,081.1,081.2,081.3,082.1,082.2,082.3,083.1,083.2,083.3,084.1,084.2,084.3,085.1,085.2,085.3,086.1,086.2,086.3,087.1,087.2,087.3,088.1,088.2,088.3,089.1,089.2,089.3,090.1,090.2,090.3,091.1,091.2,091.3,171.1,171.2,171.3,172.1,172.2,172.3,181.1,181.2,181.3,182.1,182.2,182.3,183.1,183.2,183.3,184.1,184.2,184.3,185.1,185.2,185.3,186.1,186.2,186.3,187.1,187.2,187.3,188.1,188.2,188.3,189.1,189.2,189.3,190.1,190.2,190.3,191.1,191.2,191.3,192.1,192.2,192.3,193.1,193.2,193.3,194.1,194.2,194.3,195.1,195.2,195.3,196.1,196.2,196.3,197.1,197.2,197.3,198.1,198.2,198.3,199.1,199.2,199.3,200.1,200.2,200.3,201.1,201.2,201.3,202.1,202.2,202.3,203.1,203.2,203.3,204.1,204.2,204.3,205.1,205.2,205.3,206.1,206.2,206.3,207.1,207.2,207.3,208.1,208.2,208.3,209.1,209.2,209.3,210.1,210.2,210.3,211.1,211.2,211.3,212.1,212.2,212.3,213.1,213.2,213.3,214.1,214.2,214.3,215.1,215.2,215.3,216.1,216.2,216.3,217.1,217.2,217.3,218.1,218.2,218.3,219.1,219.2,219.3
,SLD,SLD,SLD,TAD,TAD,TAD,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"524,5688","0,1371419","0,1275088","0,04674339","0,06094239","0,05652664","0,05237702","0,05621992","0,107148","0,1048653","0,06614089","0,1004569","0,1760025","0,06065978","0,1042695","0,1081198","0,0637166","0,1857446","0,1267508","0,05255888","0,05348551","0,07144037","0,0681859","0,161227","0,1619087","0,07661053","0,1443003","0,1427746","0,09966768","0,15348","0,155527","0,09045647","0,1922951","0,1970251","0,07696261","0,169669","0,1713294","0,06038852","0,1765109","0,1796385","0,05595224","0,06716223","0,06824173","0,07558016","0,06987706","0,06794655","0,05972314","0,1179037","0,1195951","0,1898037","0,1464167","0,1734383","0,163","0,1604856","0,1552489","0,1798193","0,1667286","0,1542373","0,157966","0,1487739","0,1310958","0,1441744","0,1364468","0,1359232","0,1429193","0,1387325","0,133651","0,1359187","0,1321033","0,1391377","0,1351926","0,1298159","0,141927","0,1573439","0,1436979","0,1517464","0,1302333","0,1215288","0,1162187","0,1519426","0,1614308","0,1328196","0,1301567","0,1696231","0,1567507","0,1313776","0,1273735","0,1272038","0,1478576","0,1357904","0,133558","0,1940141","0,2183973","0,2384616","0,2279648","0,2073131","0,2269859","0,2132673","0,2150794","0,2127201","0,2188687","0,197692","0,2273158","0,2031809","0,2085163","0,2252641","0,2074672","0,2108698","0,2278544","0,2502996","0,2111323","0,2060396","0,2305301","0,2051874","0,2119345","0,2487977","0,2170188","0,2313068","0,2492122","0,2508116","0,23975","0,2301366","0,2513255","0,240836","0,2341653","0,2418741","0,2232439","0,2174183","0,2879872","0,2490675","0,2459291","0,246877","0,2311521","0,2083002","0,2003808","0,242451","0,2538909","0,2291032","0,2141533","0,2054138","0,2057396","0,2132665","0,2043384","0,2019388","0,192697","0,2191817","0,1813211","0,1916786","0,1306988","0,1388843","0,1373158","0,1380515","0,1662955","0,1386835","0,1382293","0,1337347","0,1265607","0,1584323","0,1552013","0,1396812","0,1250547","0,1456988","0,1367987","0,1496233","0,1430216","0,1411179"
"526,4974","0,1370548","0,1283194","0,04835252","0,06041509","0,05584405","0,05469503","0,05581703","0,1106338","0,1070942","0,06645686","0,1024648","0,1789246","0,0618398","0,1069497","0,1091349","0,06592935","0,1889313","0,1317694","0,0550385","0,05546752","0,07325278","0,06960911","0,1647668","0,1658989","0,07699936","0,1434816","0,1433029","0,09939437","0,1539541","0,1567162","0,09012444","0,193161","0,1990667","0,07647631","0,1695923","0,1715511","0,05985869","0,1791751","0,1820179","0,05571731","0,06794825","0,06923115","0,07452367","0,07124395","0,07005694","0,06003028","0,1188191","0,1205355","0,1907696","0,1467318","0,1765034","0,165","0,1622241","0,1570481","0,1826596","0,1696822","0,1550908","0,1594056","0,1508893","0,1324802","0,1455649","0,1369195","0,1374443","0,1434688","0,1409662","0,134146","0,1375893","0,134339","0,1410791","0,1368578","0,1299814","0,1433307","0,1597139","0,1449376","0,1543169","0,1319697","0,1227945","0,1194574","0,1544592","0,1619559","0,1355328","0,1312537","0,1716957","0,1592245","0,1335746","0,1301053","0,1280891","0,1490908","0,1377384","0,1346917","0,1934056","0,2170454","0,23688","0,226804","0,207638","0,2249821","0,2120864","0,2150014","0,2111755","0,2184515","0,1978543","0,2259044","0,2004295","0,20766","0,2245075","0,2093473","0,2089008","0,2252189","0,2501014","0,2100041","0,2056523","0,2300686","0,2064742","0,2113885","0,2493612","0,2163432","0,2293997","0,2497324","0,2496953","0,2389115","0,2286631","0,2509696","0,2386375","0,2338284","0,2421551","0,2232237","0,2154877","0,2888523","0,2488605","0,2459124","0,2460943","0,230407","0,2084006","0,1991506","0,2410789","0,2538362","0,2284803","0,2146817","0,2040265","0,2045624","0,2107682","0,2034045","0,202394","0,1924254","0,2193786","0,1808706","0,1891126","0,1332925","0,1420021","0,1404118","0,1404871","0,1686636","0,1390327","0,1418448","0,1371409","0,130403","0,160927","0,1604387","0,1423079","0,12844","0,1489234","0,1399897","0,151361","0,1458595","0,1442756"
"528,426","0,1403853","0,1336885","0,05009133","0,06412052","0,05765188","0,05805197","0,05722187","0,1131026","0,11093","0,06786879","0,1056248","0,1821677","0,06288175","0,1093416","0,1097337","0,06509477","0,1927751","0,1353012","0,0565531","0,05677844","0,07423479","0,070125","0,1666818","0,1676252","0,07725231","0,1431275","0,1440315","0,09994157","0,1554928","0,1591019","0,08947977","0,1947894","0,1999051","0,07869205","0,1695458","0,1715104","0,0601654","0,1791915","0,1822451","0,05663621","0,06826026","0,0694804","0,07483446","0,0721488","0,0721366","0,06170382","0,1211495","0,1225502","0,1924554","0,1493425","0,1802476","0,169","0,1638811","0,1588537","0,1841586","0,1703177","0,157107","0,1615778","0,1539921","0,1359802","0,1477166","0,1383191","0,1384471","0,1456972","0,1422666","0,1360138","0,1403155","0,1356722","0,1428263","0,1378457","0,1315414","0,1468462","0,1635037","0,1469257","0,1545472","0,1349242","0,1230491","0,1209243","0,1563492","0,1643798","0,1397722","0,1346585","0,1746739","0,1627699","0,1355653","0,1322076","0,1309475","0,153341","0,1409923","0,139162","0,1970026","0,2183767","0,239327","0,2284285","0,2104705","0,2257125","0,2152367","0,2184546","0,2138141","0,2204371","0,1985407","0,2289473","0,2036953","0,2103606","0,2268718","0,2103926","0,2097258","0,2303073","0,2509126","0,2107468","0,2056055","0,2324796","0,2085299","0,2141128","0,2494159","0,2154225","0,2299968","0,249395","0,2503737","0,2395081","0,2305676","0,2516902","0,2391059","0,2363773","0,2426337","0,224874","0,215649","0,2879937","0,2497856","0,2472616","0,2451692","0,2323578","0,2085401","0,2012101","0,2416118","0,2552036","0,2294603","0,2170662","0,205709","0,205728","0,2104943","0,2065304","0,204036","0,1953363","0,2207393","0,1808728","0,1907254","0,1351101","0,1437797","0,1425579","0,1455999","0,1732468","0,1430626","0,1433544","0,138477","0,1307039","0,1620158","0,1628363","0,1441067","0,1290968","0,1498075","0,1424659","0,1515641","0,1473379","0,1453543"
"530,3546","0,145603","0,139433","0,0525514","0,06994922","0,06260074","0,06246027","0,05862176","0,1150783","0,113762","0,07028963","0,1072206","0,1861042","0,06264166","0,1112366","0,1101818","0,06534022","0,1967277","0,1358329","0,05612607","0,05701315","0,07473574","0,07138546","0,1684509","0,1697281","0,07717291","0,1430854","0,1435133","0,1010491","0,1561346","0,158377","0,08820908","0,1952237","0,1982493","0,07946657","0,1690475","0,1697496","0,0608947","0,1781679","0,1824428","0,05778013","0,06682082","0,06747299","0,07906272","0,0732957","0,07328962","0,06474567","0,1243029","0,1269484","0,1972447","0,1530266","0,1834527","0,172","0,1666337","0,1609407","0,1858241","0,1727322","0,1606051","0,1652536","0,1570682","0,1403354","0,150491","0,1415886","0,1417551","0,1495363","0,1438669","0,1395192","0,1425655","0,1371677","0,1461045","0,1411051","0,1348898","0,1496011","0,1663395","0,1494166","0,1566757","0,139525","0,1243374","0,1233371","0,1596177","0,1686583","0,1425524","0,136979","0,1784484","0,1660481","0,1385026","0,1352662","0,1357627","0,1567999","0,1441538","0,1429518","0,1982217","0,2170736","0,2395134","0,2289136","0,2100391","0,2266712","0,215321","0,2190774","0,2137816","0,2203767","0,1984369","0,228691","0,2060482","0,2111379","0,2267908","0,2105882","0,2112487","0,2343875","0,251808","0,2114111","0,2070995","0,2348231","0,2089396","0,2155298","0,2493797","0,2164726","0,2315626","0,2515572","0,2517304","0,2406161","0,2329518","0,2536874","0,2416668","0,2387636","0,2436714","0,225846","0,2184327","0,2885067","0,250795","0,2487998","0,2457461","0,234424","0,2097802","0,201964","0,2428681","0,2549635","0,2316031","0,2183232","0,2068922","0,2059021","0,2135616","0,2095674","0,2051889","0,1980646","0,220799","0,1802363","0,1926575","0,1371264","0,1462799","0,1449336","0,149495","0,1779589","0,1483032","0,1437243","0,1410773","0,1316679","0,1642954","0,1636503","0,1463624","0,1305949","0,150661","0,1442799","0,1532594","0,1506301","0,1470663"
"532,2831","0,150279","0,1455739","0,05475711","0,0743934","0,06689947","0,06769911","0,05943102","0,118067","0,1168835","0,07284079","0,1077243","0,1897044","0,06343532","0,1133522","0,1130746","0,06519794","0,2005781","0,1364321","0,05697741","0,05880531","0,07662329","0,07442171","0,1711496","0,1727688","0,07672533","0,1438784","0,1424354","0,1016061","0,156497","0,157219","0,08637509","0,1945602","0,1974621","0,07757109","0,1703497","0,1692883","0,06042602","0,1792814","0,1831753","0,05725692","0,06565299","0,06627997","0,08270622","0,0749949","0,07558142","0,06757119","0,1284706","0,1294906","0,2016454","0,1568813","0,1867612","0,175","0,1710024","0,1646743","0,1887293","0,1767624","0,1655837","0,1708395","0,1612773","0,1444683","0,1552699","0,1452063","0,1456895","0,1527707","0,1471469","0,1431076","0,1466342","0,1416878","0,149826","0,145507","0,1386037","0,1538377","0,169527","0,1539191","0,1608811","0,1437607","0,1284516","0,1261728","0,1647954","0,1740386","0,1463741","0,1401394","0,182889","0,1701242","0,1416187","0,1393441","0,1394859","0,1613306","0,1485537","0,1464382","0,1996351","0,2172338","0,241227","0,2307931","0,2118357","0,2292569","0,2164669","0,2205348","0,2160802","0,2219387","0,1999308","0,2297667","0,2075481","0,2122197","0,2277402","0,2124564","0,2141447","0,234734","0,2525572","0,2127179","0,2096673","0,2362129","0,2089413","0,2182035","0,2513645","0,2182532","0,2342963","0,2530763","0,2546422","0,2417983","0,2345706","0,2551317","0,2444322","0,2403854","0,2457716","0,2262817","0,2209034","0,2904713","0,2528533","0,2491881","0,2470114","0,2361501","0,2115349","0,2034017","0,2447699","0,2561909","0,2330015","0,2202156","0,2084189","0,2070682","0,216421","0,2096335","0,2065785","0,1993392","0,2213013","0,1820251","0,1938017","0,1403305","0,1486264","0,148468","0,1533542","0,1837312","0,152217","0,1452537","0,1437698","0,1339062","0,1684474","0,1654972","0,1488443","0,13379","0,1538943","0,1472418","0,155993","0,155397","0,149793"
"534,2117","0,1554679","0,1506344","0,05647245","0,07668551","0,06977962","0,0719336","0,06067278","0,1213344","0,1188918","0,0745381","0,11037","0,1941997","0,06512737","0,1160662","0,1163678","0,06665097","0,2047598","0,1396639","0,05892745","0,0611215","0,07903935","0,07639642","0,1757535","0,1766639","0,07827991","0,1448842","0,1440797","0,1024741","0,1568486","0,1593198","0,08658499","0,1942233","0,1997685","0,07727282","0,1712315","0,1721645","0,05955296","0,1807598","0,1846819","0,05657925","0,06589667","0,06696944","0,08425155","0,07800293","0,07941951","0,06945559","0,1332335","0,1337005","0,2062777","0,1604585","0,1907796","0,18","0,1769755","0,1698396","0,1925005","0,1813067","0,1710086","0,1774744","0,1663169","0,1475875","0,1597649","0,1495829","0,1489365","0,1572855","0,1531214","0,1485545","0,1508503","0,1470316","0,1531827","0,1492841","0,1426736","0,1595158","0,1744246","0,1592107","0,1658852","0,1483535","0,1330316","0,1298152","0,169674","0,1786788","0,1507146","0,1455887","0,1887273","0,1758428","0,145085","0,1437675","0,1409494","0,1660994","0,1531209","0,1502213","0,1999895","0,2205211","0,2442359","0,2320585","0,2133695","0,2320291","0,2183173","0,2222482","0,2189791","0,2251526","0,2025947","0,2335672","0,208239","0,2134091","0,2280187","0,2141186","0,216334","0,2358461","0,2533189","0,2143093","0,2104169","0,2364015","0,2101081","0,2202448","0,2532716","0,2197554","0,235642","0,2536012","0,2573779","0,2426096","0,2358906","0,2558612","0,246576","0,241935","0,2478326","0,2270976","0,2209878","0,2919343","0,2552722","0,2508851","0,2483454","0,2376141","0,2118175","0,2053503","0,2468314","0,2579179","0,2327635","0,2202028","0,2098424","0,2098557","0,2172606","0,2107728","0,2087006","0,2011598","0,2226169","0,183474","0,1948942","0,1454003","0,1533465","0,1546491","0,1584315","0,1890814","0,1548808","0,1503855","0,1480243","0,1375683","0,1742702","0,1697415","0,1526501","0,137232","0,1596062","0,1514557","0,1598403","0,1590308","0,1549467"
"536,1402","0,1633517","0,1565295","0,05786287","0,08056465","0,07483631","0,07835404","0,06311802","0,1239977","0,1212293","0,07588921","0,1138496","0,1988879","0,06795972","0,1206647","0,1206802","0,06934759","0,2112934","0,1442012","0,06057612","0,06294088","0,08158721","0,07761446","0,1823518","0,1827191","0,07943565","0,1463753","0,1476011","0,1042984","0,1587563","0,1613319","0,089459","0,1967751","0,2015118","0,07942174","0,1711622","0,1735457","0,06093835","0,1823781","0,1861838","0,05792303","0,06792496","0,0677481","0,08504073","0,08199606","0,08295875","0,07024098","0,1379632","0,1387441","0,2115685","0,1644731","0,1968975","0,184","0,1823757","0,1732133","0,1971711","0,1863856","0,1760644","0,1813003","0,1720048","0,1509377","0,1651348","0,1552616","0,1524502","0,1611952","0,1572608","0,1531412","0,156348","0,1509228","0,1574878","0,1523761","0,1476628","0,1644256","0,1784608","0,1617773","0,170788","0,1530892","0,1374056","0,133085","0,1736115","0,1829647","0,1547754","0,1501061","0,1941919","0,1801634","0,1479379","0,1488611","0,1430729","0,1704242","0,1553212","0,1538144","0,2004737","0,2227224","0,245889","0,2325818","0,2127352","0,233996","0,2186663","0,2230336","0,2180002","0,2274893","0,2035593","0,2359125","0,2082474","0,2142273","0,2287512","0,2144829","0,2152844","0,2359664","0,2552607","0,2158041","0,2110059","0,2380877","0,2122802","0,2204269","0,254831","0,220674","0,2356711","0,254717","0,26012","0,2449183","0,2374696","0,2563154","0,247076","0,2429932","0,2497263","0,2289538","0,2228635","0,2948359","0,2564221","0,2538832","0,2495601","0,2390876","0,2123303","0,2062023","0,2474743","0,2586645","0,2347516","0,2198584","0,2104968","0,2116763","0,2174093","0,2142333","0,2082534","0,2021495","0,2250296","0,1837207","0,1972308","0,1514176","0,1597487","0,1611843","0,1616946","0,1926121","0,1576361","0,1558097","0,1543532","0,1419927","0,1804012","0,1765946","0,1576259","0,1412782","0,1661347","0,1584259","0,1661814","0,1630131","0,1607596"
